source_frame,timestamp_seconds,detected,class_name,confidence,x_center,y_center,width,height,x_min,y_min,x_max,y_max
0,0.000000,False,,,,,,,,,,
1,0.016683,False,,,,,,,,,,
2,0.033367,False,,,,,,,,,,
3,0.050050,False,,,,,,,,,,
4,0.066733,False,,,,,,,,,,
5,0.083417,False,,,,,,,,,,
6,0.100100,False,,,,,,,,,,
7,0.116783,False,,,,,,,,,,
8,0.133467,False,,,,,,,,,,
9,0.150150,False,,,,,,,,,,
10,0.166833,False,,,,,,,,,,
11,0.183517,False,,,,,,,,,,
12,0.200200,False,,,,,,,,,,
13,0.216883,False,,,,,,,,,,
14,0.233567,True,Squash-Line-Calling,0.734696,1888.000,760.000,20.000,16.000,1878.000,752.000,1898.000,768.000
15,0.250250,True,Squash-Line-Calling,0.615702,1871.000,750.000,18.000,12.000,1862.000,744.000,1880.000,756.000
16,0.266933,True,Squash-Line-Calling,0.662035,1856.000,740.000,16.000,12.000,1848.000,734.000,1864.000,746.000
17,0.283617,True,Squash-Line-Calling,0.713738,1841.000,732.000,18.000,16.000,1832.000,724.000,1850.000,740.000
18,0.300300,True,Squash-Line-Calling,0.449981,1827.000,724.000,14.000,12.000,1820.000,718.000,1834.000,730.000
19,0.316983,True,Squash-Line-Calling,0.719204,1812.000,720.000,16.000,12.000,1804.000,714.000,1820.000,726.000
20,0.333667,True,Squash-Line-Calling,0.608859,1798.000,713.000,16.000,14.000,1790.000,706.000,1806.000,720.000
21,0.350350,True,Squash-Line-Calling,0.707323,1785.000,710.000,14.000,12.000,1778.000,704.000,1792.000,716.000
22,0.367033,True,Squash-Line-Calling,0.343846,835.000,22.000,10.000,12.000,830.000,16.000,840.000,28.000
23,0.383717,True,Squash-Line-Calling,0.393424,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
24,0.400400,True,Squash-Line-Calling,0.719092,1747.000,705.000,14.000,14.000,1740.000,698.000,1754.000,712.000
25,0.417083,True,Squash-Line-Calling,0.699725,1735.000,705.000,14.000,14.000,1728.000,698.000,1742.000,712.000
26,0.433767,True,Squash-Line-Calling,0.710232,1723.000,705.000,14.000,14.000,1716.000,698.000,1730.000,712.000
27,0.450450,True,Squash-Line-Calling,0.699950,1711.000,708.000,14.000,12.000,1704.000,702.000,1718.000,714.000
28,0.467133,True,Squash-Line-Calling,0.673601,1701.000,709.000,14.000,14.000,1694.000,702.000,1708.000,716.000
29,0.483817,True,Squash-Line-Calling,0.535630,834.000,22.000,8.000,12.000,830.000,16.000,838.000,28.000
30,0.500500,True,Squash-Line-Calling,0.424288,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
31,0.517183,True,Squash-Line-Calling,0.427165,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
32,0.533867,True,Squash-Line-Calling,0.428810,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
33,0.550550,True,Squash-Line-Calling,0.430946,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
34,0.567233,True,Squash-Line-Calling,0.425337,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
35,0.583917,True,Squash-Line-Calling,0.423913,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
36,0.600600,True,Squash-Line-Calling,0.674301,1627.000,750.000,14.000,12.000,1620.000,744.000,1634.000,756.000
37,0.617283,True,Squash-Line-Calling,0.427891,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
38,0.633967,True,Squash-Line-Calling,0.423975,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
39,0.650650,True,Squash-Line-Calling,0.419072,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
40,0.667333,True,Squash-Line-Calling,0.415337,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
41,0.684017,True,Squash-Line-Calling,0.422400,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
42,0.700700,True,Squash-Line-Calling,0.445779,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
43,0.717383,True,Squash-Line-Calling,0.417555,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
44,0.734067,True,Squash-Line-Calling,0.420791,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
45,0.750750,True,Squash-Line-Calling,0.419629,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
46,0.767433,True,Squash-Line-Calling,0.420086,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
47,0.784117,True,Squash-Line-Calling,0.414722,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
48,0.800800,True,Squash-Line-Calling,0.411494,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
49,0.817483,True,Squash-Line-Calling,0.407836,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
50,0.834167,True,Squash-Line-Calling,0.410602,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
51,0.850850,True,Squash-Line-Calling,0.410389,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
52,0.867533,True,Squash-Line-Calling,0.418743,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
53,0.884217,True,Squash-Line-Calling,0.408979,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
54,0.900900,True,Squash-Line-Calling,0.408497,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
55,0.917583,True,Squash-Line-Calling,0.400941,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
56,0.934267,True,Squash-Line-Calling,0.404619,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
